Index,SMILES,Type
1,C,Donor
2,c1c[nH]cn1,Donor
3,c1cn[nH]c1,Donor
4,c1cocn1,Donor
5,c1nnc[nH]1,Donor
6,c1ccnnc1,Donor
7, c1ccsc1,Donor
8, O=c1[nH]cc[nH]1,Donor
9,Nc1ccccc1,Donor
10,C1=Cc2ccccc2C1,Donor
11,c1cc2ccccc2[nH]1,Donor
12,c1cc2ccccc2o1,Donor
13,c1cc2cnccc2[nH]1,Donor
14,c1nc2ccccc2[nH]1,Donor
15, c1nc2ccccc2o1,Donor
16,c1ccc2[nH]nnc2c1,Donor
17,CN(C)c1ccccc1,Donor
18,c1ccc2cnccc2c1,Donor
19,c1ccc2ncccc2c1,Donor
20,c1cnc2ncccc2c1,Donor
21,CC1C=Cc2ccccc21,Donor
22,c1cnc2cnncc2c1,Donor
23,Cn1ccc2ccccc21,Donor
24,Fc1cccc(F)c1F,Donor
25,c1cc2ccccc2s1,Donor
26,c1nc2ccccc2s1,Donor
27,O=c1cc[nH]c2ccccc12,Donor
28,c1ccc(-c2ccccn2)nc1,Donor
29,c1cc2cc3ccoc3cc2[nH]1,Donor
30,c1cc2cc3occc3cc2o1,Donor
31,c1nc2cc3nc[nH]c3cc2[nH]1,Donor
32,c1cc2nc3ccoc3nc2[nH]1,Donor
33,c1nc2nc3nc[nH]c3cc2[nH]1,Donor
34,c1nc2cc3ocnc3cc2o1,Donor
35,c1cc2nc3ccoc3nc2o1,Donor
36,c1nc2nc3nc[nH]c3nc2[nH]1,Donor
37,c1ccc2c(c1)Cc1ccccc1-2,Donor
38,c1ccc2c(c1)[nH]c1ccccc12,Donor
39,c1ccc2c(c1)oc1ccccc12,Donor
40,c1ccc2c(c1)[nH]c1ncccc21,Donor
41,c1ccc2c(c1)[nH]c1cnccc12,Donor
42,c1ccc2c(c1)[nH]c1ccncc12,Donor
43,c1ccc2c(c1)oc1ncccc21,Donor
44,c1cc2[nH]c3ccncc3c2cn1,Donor
45,c1ccc(Nc2ccccc2)cc1,Donor
46,c1cnc2oc3ncccc3c2c1,Donor
47,CN(C)c1ccc2ccccc2c1,Donor
