Index,SMILES,ST Gap,HL Gap,S1,T1
1,c1cc2cc(-c3ccc(-c4ccc5cnccc5c4)c4nccnc34)ccc2cn1,0.8258,3.660477528,3.1476,2.3218
2,c1ccc(P(c2ccccc2)c2c3nc[nH]c3c(P(c3ccccc3)c3ccccc3)c3[nH]cnc23)cc1,0.5396,3.98238839,3.2681,2.7285
3,CN1c2ccccc2Oc2cc(-c3cc(-c4ccc5c(c4)Oc4ccccc4N5C)cc([SH](=O)=O)c3)ccc21,0.6255,3.696124462,3.2035,2.578
4,C(#Cc1ccc2c(c1)oc1ccccc12)c1ccc2c(c1)[nH]c1cc(C#Cc3ccc4c(c3)oc3ccccc34)ccc12,0.8081,3.342104148,3.0034,2.1953
5,O=c1[nH]ccn1C=Cc1ccc2cc3ccccc3cc2c1C=Cn1cc[nH]c1=O,1.1756,3.13067157,2.8071,1.6315
6,O=[SH](=O)c1cc(CSCn2cccn2)cc(CSCn2cccn2)c1,0.6887,4.890704922,4.2452,3.5565
7,CC1(C)c2ccccc2N(CSCC2=CC(=O)C=C(CSCN3c4ccccc4C(C)(C)c4ccccc43)C2=O)c2ccccc21,0.0063,1.728740242,1.2832,1.2769
8,c1cc2c(c(-c3ccc(-c4ccc5c(c4)[nH]c4cc(-c6ccc(-c7cccc8c7[SiH2:2]c7cccnc7[SiH2]8)cc6)ccc45)cc3)c1)[SiH2:2]c1cccnc1[SiH2]2,0.912,4.073002352,3.6518,2.7398
9,O=c1[nH]ccn1C1CCC(c2ccc3c(c2)[nH]c2cc(C4CCC(n5cc[nH]c5=O)CC4)ccc23)CC1,2.4016,3.59870765,2.7449,0.3433
10,Cc1cc(-c2cncc(-c3cc(C)c(-c4ccc(N(C)C)cc4)cc3C)n2)c(C)cc1-c1ccc(N(C)C)cc1,0.4778,3.758166454,3.3536,2.8758
11,Cc1cc(S(=O)(=O)c2cc(C)c(N(c3ccccc3)c3ccccc3)cc2C)c(C)cc1N(c1ccccc1)c1ccccc1,0.6329,4.198174792,3.6498,3.0169
